Archetype_Lineup,2020,2021,2022,2023,2024
CB_1 | CB_3 | CB_3 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.271,0.0,0.0
CB_1 | CB_2 | CB_4 | ED_0 | ED_0 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.331,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_2 | S_2,0.0,0.0,0.256,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_0 | S_1,0.0,0.0,0.0,0.316,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_4 | S_4,0.0,0.486,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_0 | S_0 | S_4,0.0,0.526,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_0 | S_4,0.0,1.287,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_2 | LB_1 | S_0 | S_1 | S_2,0.348,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_3 | LB_0 | LB_1 | S_1 | S_4,0.545,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4 | S_4,0.0,0.0,0.0,0.266,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_2 | ED_3 | LB_1 | LB_1 | S_0 | S_0,0.0,0.0,0.0,0.571,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_0 | S_4 | S_4,0.899,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_1 | ED_2 | ED_3 | LB_1 | S_2 | S_2 | S_4,0.399,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.292,0.016,0.0,0.006,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.271,0.072,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_1 | ED_1 | LB_1 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.255,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.372,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.039,0.0,0.0,0.477,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.236,0.332,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.876,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_1 | S_1 | S_2,0.354,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.324,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.416,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.09,1.02,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.41,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.714,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.719,0.008,0.0,0.022,0.0
CB_2 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_0 | LB_3 | LB_3 | S_0 | S_4,0.253,0.0,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | ED_0 | ED_0 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.383,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_2 | ED_0 | ED_0 | ED_3 | LB_3 | S_2 | S_4 | S_4,0.0,0.324,0.0,0.0,0.0
